Day,Campaign,Campaign ID,Cost,Impressions,Clicks,Conversions,Conv. value
2026-06-22,Search - Brand,11122334,83.11,2894,91,8.00,1222.20
2026-06-22,Shopping - Core,11122335,253.58,6385,304,11.00,1245.00
2026-06-22,Search - Generic,11122336,96.87,4725,136,3.00,275.00
2026-06-22,PMax - Retargeting,11122337,50.05,1273,60,3.00,299.10
2026-06-23,Search - Brand,11122334,93.43,2720,126,11.00,1244.50
2026-06-23,Shopping - Core,11122335,251.63,8767,302,9.00,1638.50
2026-06-23,Search - Generic,11122336,98.07,3462,131,3.00,1216.20
2026-06-23,PMax - Retargeting,11122337,49.36,1495,61,4.00,890.30
2026-06-24,Search - Brand,11122334,93.59,3141,133,11.00,1441.10
2026-06-24,Shopping - Core,11122335,272.47,8169,313,10.00,1691.50
2026-06-24,Search - Generic,11122336,101.58,4011,146,3.00,336.00
2026-06-24,PMax - Retargeting,11122337,49.28,2288,73,5.00,648.10
2026-06-25,Search - Brand,11122334,87.24,2353,94,9.00,1288.20
2026-06-25,Shopping - Core,11122335,269.86,7971,325,9.00,818.40
2026-06-25,Search - Generic,11122336,87.79,2831,118,3.00,508.10
2026-06-25,PMax - Retargeting,11122337,51.55,2824,80,5.00,581.20
2026-06-26,Search - Brand,11122334,62.52,1592,79,6.00,784.10
2026-06-26,Shopping - Core,11122335,175.89,7763,232,7.00,1427.30
2026-06-26,Search - Generic,11122336,66.31,1971,70,2.00,78.00
2026-06-26,PMax - Retargeting,11122337,37.81,1097,56,3.00,429.10
2026-06-27,Search - Brand,11122334,60.93,1532,73,6.00,955.30
2026-06-27,Shopping - Core,11122335,190.14,7260,304,9.00,1596.00
2026-06-27,Search - Generic,11122336,67.51,2948,91,2.00,238.00
2026-06-27,PMax - Retargeting,11122337,32.44,937,40,2.00,198.00
2026-06-28,Search - Brand,11122334,67.55,2459,98,8.00,1460.20
2026-06-28,Shopping - Core,11122335,171.59,6068,260,8.00,1750.40
2026-06-28,Search - Generic,11122336,67.09,1726,71,1.00,289.00
2026-06-28,PMax - Retargeting,11122337,33.07,756,35,2.00,224.10
2026-06-29,Search - Brand,11122334,89.21,4159,130,12.00,1561.40
2026-06-29,Shopping - Core,11122335,247.37,8383,338,10.00,1397.40
2026-06-29,Search - Generic,11122336,106.41,4559,138,3.00,556.00
2026-06-29,PMax - Retargeting,11122337,47.97,1157,54,4.00,535.00
2026-06-30,Search - Brand,11122334,82.99,2856,92,8.00,1774.20
2026-06-30,Shopping - Core,11122335,270.70,8499,378,12.00,2993.40
2026-06-30,Search - Generic,11122336,106.82,3541,117,3.00,359.10
2026-06-30,PMax - Retargeting,11122337,51.56,1140,55,3.00,605.00
2026-07-01,Search - Brand,11122334,95.03,2502,110,10.00,1201.10
2026-07-01,Shopping - Core,11122335,279.55,9018,329,10.00,1908.50
2026-07-01,Search - Generic,11122336,89.57,2043,102,2.00,696.00
2026-07-01,PMax - Retargeting,11122337,45.19,1314,67,3.00,377.00
2026-07-02,Search - Brand,11122334,95.46,3418,146,12.00,2372.60
2026-07-02,Shopping - Core,11122335,261.37,9160,303,10.00,1930.40
2026-07-02,Search - Generic,11122336,93.55,4225,120,3.00,613.10
2026-07-02,PMax - Retargeting,11122337,45.61,1359,57,3.00,737.30
2026-07-03,Search - Brand,11122334,66.06,3050,102,8.00,1361.10
2026-07-03,Shopping - Core,11122335,185.21,5503,282,8.00,1026.20
2026-07-03,Search - Generic,11122336,67.88,2707,85,2.00,882.20
2026-07-03,PMax - Retargeting,11122337,33.27,1348,46,2.00,307.00
